,Game,Prize,NumPlayer,NumTournaments,Year
0,Counter-Strike,"$400,994.88",351 Players,14 Tournaments,2002
1,StarCraft: Brood War,"$132,944.26",36 Players,10 Tournaments,2002
2,Quake III Arena,"$102,206.40",24 Players,4 Tournaments,2002
3,Age of Empires II,"$92,866.00",37 Players,28 Tournaments,2002
4,WarCraft III,"$74,740.65",35 Players,6 Tournaments,2002
5,Return to Castle Wolfenstein,"$67,424.30",30 Players,2 Tournaments,2002
6,FIFA 2002 World Cup,"$43,000.00",8 Players,1 Tournament,2002
7,Unreal Tournament,"$43,000.00",8 Players,2 Tournaments,2002
8,Unreal Tournament 2003,"$34,000.00",18 Players,5 Tournaments,2002
9,NASCAR Thunder 2002,"$7,679.25",0 Players,1 Tournament,2002
10,Star Wars Jedi Knight II: Jedi Outcast,"$7,679.25",0 Players,1 Tournament,2002
11,Halo: Combat Evolved,"$5,000.00",21 Players,2 Tournaments,2002
12,Age of Empires,$100.00,3 Players,1 Tournament,2002
13,Super Smash Bros. Melee,$40.00,4 Players,2 Tournaments,2002
14,Capcom vs. SNK 2,$0.00,3 Players,1 Tournament,2002
15,Marvel vs. Capcom 2,$0.00,3 Players,1 Tournament,2002
16,Super Street Fighter II Turbo,$0.00,3 Players,1 Tournament,2002
0,Counter-Strike,"$821,957.99",503 Players,63 Tournaments,2003
1,StarCraft: Brood War,"$276,838.39",81 Players,16 Tournaments,2003
2,WarCraft III,"$248,436.18",102 Players,38 Tournaments,2003
3,Unreal Tournament 2003,"$111,773.91",17 Players,8 Tournaments,2003
4,Halo: Combat Evolved,"$107,150.00",74 Players,12 Tournaments,2003
5,Quake III Arena,"$95,463.46",26 Players,6 Tournaments,2003
6,Age of Mythology,"$55,400.00",20 Players,7 Tournaments,2003
7,FIFA 03,"$54,066.44",10 Players,3 Tournaments,2003
8,Age of Empires II,"$27,697.02",45 Players,21 Tournaments,2003
9,Super Smash Bros. Melee,"$15,550.00",8 Players,4 Tournaments,2003
10,Tekken 4,"$12,500.00",3 Players,3 Tournaments,2003
11,NASCAR Thunder 2003,"$5,933.50",0 Players,1 Tournament,2003
12,Live for Speed,"$2,491.62",5 Players,1 Tournament,2003
13,Gran Turismo 3: A-Spec,"$1,500.00",3 Players,1 Tournament,2003
14,Madden NFL 2004,"$1,500.00",3 Players,1 Tournament,2003
15,Soul Calibur II,"$1,500.00",6 Players,3 Tournaments,2003
16,Day of Defeat,$880.41,6 Players,1 Tournament,2003
17,Age of Empires,$625.00,4 Players,1 Tournament,2003
18,Capcom vs. SNK 2,$0.00,3 Players,2 Tournaments,2003
19,FIFA 04,$0.00,0 Players,1 Tournament,2003
20,Guilty Gear XX,$0.00,3 Players,1 Tournament,2003
21,Marvel vs. Capcom 2,$0.00,3 Players,2 Tournaments,2003
22,Street Fighter III: 3rd Strike,$0.00,3 Players,1 Tournament,2003
23,Super Street Fighter II Turbo,$0.00,3 Players,1 Tournament,2003
24,Tekken Tag Tournament,$0.00,3 Players,2 Tournaments,2003
25,Virtua Fighter 4: Evolution,$0.00,3 Players,2 Tournaments,2003
0,Counter-Strike,"$902,651.67",707 Players,92 Tournaments,2004
1,StarCraft: Brood War,"$538,071.31",77 Players,16 Tournaments,2004
2,WarCraft III,"$455,143.36",160 Players,89 Tournaments,2004
3,Doom 3,"$207,748.16",13 Players,3 Tournaments,2004
4,Halo: Combat Evolved,"$183,456.00",63 Players,22 Tournaments,2004
5,Counter-Strike: Condition Zero,"$162,150.60",111 Players,3 Tournaments,2004
6,Quake III Arena,"$111,500.00",35 Players,4 Tournaments,2004
7,Unreal Tournament 2004,"$106,512.41",30 Players,4 Tournaments,2004
8,Painkiller,"$55,000.00",18 Players,3 Tournaments,2004
9,Call of Duty,"$50,000.00",51 Players,1 Tournament,2004
10,Age of Empires II,"$45,565.20",110 Players,15 Tournaments,2004
11,FIFA 04,"$40,000.00",3 Players,2 Tournaments,2004
12,Need for Speed: Underground,"$35,000.00",3 Players,1 Tournament,2004
13,Project Gotham Racing 2,"$35,000.00",3 Players,1 Tournament,2004
14,Pro Evolution Soccer 3,"$25,000.00",8 Players,1 Tournament,2004
15,Age of Mythology,"$13,328.00",19 Players,5 Tournaments,2004
16,Super Smash Bros. Melee,"$10,644.50",17 Players,10 Tournaments,2004
17,Day of Defeat,"$10,000.00",18 Players,1 Tournament,2004
18,Soul Calibur II,"$2,700.00",3 Players,2 Tournaments,2004
19,Gran Turismo 3: A-Spec,"$1,750.00",3 Players,1 Tournament,2004
20,Capcom vs. SNK 2,$0.00,3 Players,1 Tournament,2004
21,FIFA 05,$0.00,0 Players,1 Tournament,2004
22,Guilty Gear XX,$0.00,3 Players,1 Tournament,2004
23,Live for Speed,$0.00,1 Player,2 Tournaments,2004
24,Marvel vs. Capcom 2,$0.00,3 Players,1 Tournament,2004
25,Street Fighter III: 3rd Strike,$0.00,3 Players,1 Tournament,2004
26,Super Street Fighter II Turbo,$0.00,3 Players,1 Tournament,2004
27,Tekken 4,$0.00,3 Players,1 Tournament,2004
