,Username,Name,Country,Prize,Year
0,BoxeR,"Lim, Yo Hwan","Korea, Republic of","$32,482.47",2002
1,Halen,"Akihiro, Nakamura",Japan,"$26,500.00",2002
2,GitzZz,Christian Höck,Germany,"$20,000.00",2002
3,LeXeR,Alex Nesterov,Russian Federation,"$20,000.00",2002
4,uNkind,Alexey Smaev,Russian Federation,"$20,000.00",2002
5,ghanggi71,"Hwang, Sang Woo","Korea, Republic of","$20,000.00",2002
6,Medusa,"Yoon, Jeon Ji","Korea, Republic of","$18,965.00",2002
7,Sync,"Byun, Gil Sup","Korea, Republic of","$16,179.92",2002
8,Reach,"Park, Jung Suk","Korea, Republic of","$15,888.15",2002
9,Fatal1ty,Johnathan Wendel,United States,"$15,000.00",2002
10,H.O.T-Forever,"Gyung, Kang Doh","Korea, Republic of","$12,090.96",2002
11,ElkY,Bertrand Gropellier,France,"$10,813.50",2002
12,KaLbI4,Alexander Gribov,Russian Federation,"$10,600.00",2002
13,NooK,Alexei Kozlovski,Russian Federation,"$10,600.00",2002
14,Rado,Anton Kapitanov,Russian Federation,"$10,600.00",2002
15,Rider,Khan Viacheslav,Russian Federation,"$10,600.00",2002
16,MadFan,Vitaly Pochinkin,Russian Federation,"$10,600.00",2002
17,NaDa,"Lee, Yoon Yeol","Korea, Republic of","$10,589.60",2002
18,YellOw,"Hong, Jin-Ho","Korea, Republic of","$10,000.00",2002
19,Daler,Sean Price,United States,"$10,000.00",2002
20,Jaguar,"Kim, Doo Hyung","Korea, Republic of","$10,000.00",2002
21,Akiles,Alvaro Romero,Spain,"$10,000.00",2002
22,Shaggy,Samuel Boult,United Kingdom,"$10,000.00",2002
23,IamKen,"Chun, Ming Chu","Taiwan, Republic of China","$10,000.00",2002
24,uG-Whear,- -,United States,"$10,000.00",2002
25,Chris,Chris Bourque,Canada,"$9,500.00",2002
26,elemeNt,Ola Moum,Norway,"$7,783.28",2002
27,Eli,Martin Elitzer,Germany,"$7,679.25",2002
28,Hell,Erik Christiansen,Germany,"$7,679.25",2002
29,HeatoN,Emil Christensen,Sweden,"$7,500.00",2002
30,Potti,Tommy Ingemarsson,Sweden,"$7,500.00",2002
31,Hyb,Johan Carlund,Sweden,"$7,000.00",2002
32,Souledge,Jerry Carlund,Sweden,"$7,000.00",2002
33,XeqtR,Jørgen Johannessen,Norway,"$6,934.30",2002
34,DarK,Ruben Bielenberg,Norway,"$6,934.30",2002
35,Moto,Dave Geffon,United States,"$6,600.00",2002
36,kane,Dave Cannon,United States,"$6,600.00",2002
37,jojo,"Hwang, Yeon Taek","Korea, Republic of","$6,256.50",2002
38,Steel,Ognian Gueorguiev,Canada,"$5,800.00",2002
39,brunk,Christoffer Forsberg,Sweden,"$5,671.00",2002
40,Rambo,Ronald Kim,United States,"$5,600.00",2002
41,Ksharp,Kyle Miller,United States,"$5,600.00",2002
42,Bullseye,Sean Morgan,United States,"$5,600.00",2002
