,Team,Prize,NumTournaments,Year
0,SK Gaming,"$64,527.74",7 Tournaments,2002
1,Hanbit Stars,"$44,159.03",4 Tournaments,2002
2,M19,"$40,000.00",1 Tournament,2002
3,GameOnline,"$35,000.00",2 Tournaments,2002
4,Team 3D,"$33,000.00",3 Tournaments,2002
5,mousesports,"$27,042.67",4 Tournaments,2002
6,mortal Teamwork,"$20,339.35",4 Tournaments,2002
7,Orcish Empire,"$15,358.50",1 Tournament,2002
8,Clan Kapitol,"$15,000.00",2 Tournaments,2002
9,against All authority,"$9,538.96",2 Tournaments,2002
10,Ocrana,"$9,215.10",1 Tournament,2002
11,Ninjas in Pyjamas,"$9,205.81",1 Tournament,2002
12,goodgame,"$5,920.58",2 Tournaments,2002
13,eoLithic,"$5,916.40",2 Tournaments,2002
14,WeRRa,"$5,282.80",2 Tournaments,2002
15,Clan 519,"$5,000.00",1 Tournament,2002
16,KT Rolster,"$4,913.16",4 Tournaments,2002
17,Evil Geniuses,"$1,000.00",1 Tournament,2002
18,n!faculty,$460.29,1 Tournament,2002
19,Greatest Ones,$0.00,2 Tournaments,2002
0,SK Gaming,"$257,414.96",25 Tournaments,2003
1,team9,"$128,296.31",8 Tournaments,2003
2,mousesports,"$62,562.34",7 Tournaments,2003
3,KT Rolster,"$54,290.23",9 Tournaments,2003
4,Team 3D,"$50,500.00",4 Tournaments,2003
5,Clan 519,"$36,000.00",2 Tournaments,2003
6,a-Losers,"$32,379.00",3 Tournaments,2003
7,Greatest Ones,"$31,634.60",4 Tournaments,2003
8,mortal Teamwork,"$27,571.87",6 Tournaments,2003
9,4Kings,"$24,938.77",7 Tournaments,2003
10,Team NoA,"$21,000.00",1 Tournament,2003
11,Fnatic,"$16,051.71",3 Tournaments,2003
12,STX SouL,"$15,509.89",4 Tournaments,2003
13,Hanbit Stars,"$14,015.73",7 Tournaments,2003
14,Dutch National Team,"$14,000.00",3 Tournaments,2003
15,Taiwanese National Team,"$14,000.00",2 Tournaments,2003
16,Ocrana,"$13,285.95",3 Tournaments,2003
17,goodgame,"$12,000.00",2 Tournaments,2003
18,eoLithic,"$10,856.47",1 Tournament,2003
19,MIBR,"$9,380.84",4 Tournaments,2003
20,German National Team,"$7,000.00",1 Tournament,2003
21,Korean National Team,"$7,000.00",1 Tournament,2003
22,Spanish National Team,"$7,000.00",2 Tournaments,2003
23,Samsung,"$5,199.97",2 Tournaments,2003
24,American National Team,"$5,000.00",1 Tournament,2003
25,British National Team,"$5,000.00",1 Tournament,2003
26,Kazakh National Team,"$5,000.00",1 Tournament,2003
27,Pirates of Space,"$4,217.95",2 Tournaments,2003
28,Shoot To Kill,"$4,000.00",1 Tournament,2003
29,Clan Kapitol,"$3,000.00",1 Tournament,2003
30,eSTRO,"$2,562.00",1 Tournament,2003
31,EYEBALLERS,"$2,389.07",1 Tournament,2003
32,WeRRa,"$2,113.14",2 Tournaments,2003
33,French National Team,"$2,000.00",1 Tournament,2003
34,Italian National Team,"$2,000.00",1 Tournament,2003
35,Russian National Team,"$2,000.00",1 Tournament,2003
36,against All authority,"$1,728.65",2 Tournaments,2003
37,GameOnline,$882.37,2 Tournaments,2003
38,Empire Arcadia,$0.00,1 Tournament,2003
0,SK Gaming,"$172,705.20",41 Tournaments,2004
1,T1,"$98,415.67",5 Tournaments,2004
2,The Titans,"$98,043.69",10 Tournaments,2004
3,Hanbit Stars,"$82,989.99",7 Tournaments,2004
4,Pantech,"$68,530.00",2 Tournaments,2004
5,KT Rolster,"$66,064.81",8 Tournaments,2004
6,Team 3D,"$64,500.00",5 Tournaments,2004
7,4Kings,"$62,224.29",19 Tournaments,2004
8,Fnatic,"$58,812.01",7 Tournaments,2004
9,EYEBALLERS,"$56,604.59",4 Tournaments,2004
10,mousesports,"$54,206.60",10 Tournaments,2004
11,Team NoA,"$53,746.11",5 Tournaments,2004
12,spiXel,"$48,130.12",7 Tournaments,2004
13,mortal Teamwork,"$44,545.38",15 Tournaments,2004
14,Destination-Skyline,"$41,153.79",10 Tournaments,2004
15,Clan 519,"$40,000.00",1 Tournament,2004
16,Clan Kapitol,"$34,550.00",4 Tournaments,2004
17,Virtus.pro,"$33,268.23",15 Tournaments,2004
18,Ocrana,"$32,553.70",5 Tournaments,2004
19,Greatest Ones,"$27,993.59",7 Tournaments,2004
20,Swedish National Team,"$20,854.03",3 Tournaments,2004
21,Pirates of Space,"$17,144.57",2 Tournaments,2004
22,MIBR,"$17,000.00",5 Tournaments,2004
23,Pentagram G-Shock,"$13,309.56",3 Tournaments,2004
24,compLexity Gaming,"$13,000.00",2 Tournaments,2004
25,Begrip Gaming,"$11,052.21",2 Tournaments,2004
26,goodgame,"$10,071.64",4 Tournaments,2004
27,Shoot To Kill,"$9,115.00",2 Tournaments,2004
28,Evil Geniuses,"$6,500.00",2 Tournaments,2004
29,American National Team,"$6,000.00",1 Tournament,2004
30,eSTRO,"$5,130.00",1 Tournament,2004
31,wisdom Nerve victory,"$4,800.00",1 Tournament,2004
32,Astralis (Finnish),"$4,750.59",3 Tournaments,2004
33,Team Alternate,"$4,501.75",2 Tournaments,2004
34,Samsung,"$4,349.97",2 Tournaments,2004
35,Austrian National Team,"$4,221.01",1 Tournament,2004
36,against All authority,"$2,418.12",1 Tournament,2004
37,French National Team,"$2,412.01",1 Tournament,2004
38,German National Team,"$2,412.01",1 Tournament,2004
39,Belarusian National Team,"$2,000.00",1 Tournament,2004
40,Russian National Team,"$2,000.00",1 Tournament,2004
41,STX SouL,"$1,859.95",4 Tournaments,2004
42,Finnish National Team,"$1,809.01",1 Tournament,2004
43,a-Losers,"$1,801.05",1 Tournament,2004
44,Carbon,"$1,731.00",3 Tournaments,2004
45,Danish National Team,"$1,507.50",1 Tournament,2004
46,Hwaseung OZ,"$1,282.50",1 Tournament,2004
47,n!faculty,"$1,058.44",1 Tournament,2004
48,Meet Your Makers,$948.00,2 Tournaments,2004
49,Bulgarian National Team,$904.50,1 Tournament,2004
50,M19,$242.81,1 Tournament,2004
51,Empire Arcadia,$0.00,2 Tournaments,2004
52,StarTale,$0.00,1 Tournament,2004
0,Fnatic,"$358,925.34",21 Tournaments,2005
1,Clan Kapitol,"$231,000.00",10 Tournaments,2005
2,SK Gaming,"$177,466.02",35 Tournaments,2005
3,Team 3D,"$173,250.00",32 Tournaments,2005
4,mousesports,"$144,724.83",30 Tournaments,2005
5,4Kings,"$113,221.10",33 Tournaments,2005
6,Greatest Ones,"$91,964.64",9 Tournaments,2005
7,T1,"$89,031.97",7 Tournaments,2005
8,wisdom Nerve victory,"$87,827.24",12 Tournaments,2005
9,compLexity Gaming,"$81,260.28",10 Tournaments,2005
10,KT Rolster,"$78,306.75",8 Tournaments,2005
11,Pirates of Space,"$71,566.52",6 Tournaments,2005
12,World Elite,"$61,586.34",10 Tournaments,2005
